station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Проспект Мира,8,5,Кольцевая,6,Переход на станцию Проспект Мира Калужско-Рижской линии,-40,30.01.1952,19100,"55,77972222","37,63166667"
Новослободская,9,5,Кольцевая,9,Переход на станцию Менделеевская Серпуховско-Тимирязевской линии,-40,30.01.1952,49000,"55,78","37,60277778"
Белорусская,10,5,Кольцевая,2,Переход на станцию Белорусская Замоскворецкой линии,"-42,5",30.01.1952,40800,"55,77638889","37,58444444"
Киевская,11,3,Арбатско-Покровская,4,Переход на станцию Киевская Филёвской линии,-38,05.04.1953,60800,"55,74416667","37,56444444"
Смоленская,12,3,Арбатско-Покровская,,,-50,05.04.1953,30400,"55,7475","37,58222222"
Арбатская,13,3,Арбатско-Покровская,1,Переход на станцию Библиотека имени Ленина Сокольнической линии,-41,05.04.1953,34000,"55,75222222","37,60611111"
Краснопресненская,11,5,Кольцевая,7,Переход на станцию Баррикадная Таганско-Краснопресненской линии,"-35,5",14.03.1954,29400,"55,76138889","37,5775"
Киевская,12,5,Кольцевая,3,Переход на станцию Киевская Арбатско-Покровской линии,-48,14.03.1954,55500,"55,74472222","37,56444444"
Фрунзенская,14,1,Сокольническая,,,-42,01.05.1957,11800,"55,72666667","37,57861111"
Спортивная,15,1,Сокольническая,14,Переход на станцию Лужники Московского центрального кольца,-42,01.05.1957,30100,"55,72333333","37,56388889"
ВДНХ,5,6,Калужско-Рижская,13,Переход на станцию Выставочный центр Московского монорельса,"-53,5",01.05.1958,67400,"55,82111111","37,64111111"
Алексеевская,6,6,Калужско-Рижская,,,-51,01.05.1958,29200,"55,80888889","37,63888889"
Рижская,7,6,Калужско-Рижская,,,-46,01.05.1958,32700,"55,79361111","37,63611111"
Проспект Мира,8,6,Калужско-Рижская,5,Переход на станцию Проспект Мира Кольцевой линии,-50,01.05.1958,55700,"55,78111111","37,63166667"
Кутузовская,6,4,Филёвская,14,Переход на станцию Кутузовская Московского центрального кольца,0,07.11.1958,6700,"55,74","37,53444444"
Студенческая,7,4,Филёвская,,,0,07.11.1958,2500,"55,73888889","37,54833333"
Воробьёвы горы,16,1,Сокольническая,,,10,12.01.1959,3900,"55,71027778","37,55916667"
Университет,17,1,Сокольническая,,,"-26,5",12.01.1959,50900,"55,6925","37,53333333"
Фили,5,4,Филёвская,,,0,07.11.1959,24700,"55,74611111","37,515"
Пионерская,2,4,Филёвская,,,0,13.10.1961,2100,"55,73611111","37,46722222"
Филёвский парк,3,4,Филёвская,,,0,13.10.1961,15100,"55,73972222","37,48333333"
Багратионовская,4,4,Филёвская,,,0,13.10.1961,15300,"55,74388889","37,49777778"
Измайловская,20,3,Арбатско-Покровская,,,0,21.10.1961,22500,"55,78777778","37,78138889"
Первомайская,21,3,Арбатско-Покровская,,,-7,21.10.1961,54600,"55,79472222","37,79916667"
Октябрьская,13,6,Калужско-Рижская,5,Переход на станцию Октябрьская Кольцевой линии,-50,13.10.1962,18800,"55,73055556","37,61111111"
Ленинский проспект,15,6,Калужско-Рижская,14,Переход на станцию Площадь Гагарина Московского центрального кольца,-16,13.10.1962,62200,"55,70777778","37,58611111"
Академическая,16,6,Калужско-Рижская,,,"-8,5",13.10.1962,47700,"55,68777778","37,57333333"
Профсоюзная,17,6,Калужско-Рижская,,,-7,13.10.1962,73900,"55,67805556","37,56277778"
Новые Черёмушки,18,6,Калужско-Рижская,,,-7,13.10.1962,75000,"55,67027778","37,55444444"
Щёлковская,22,3,Арбатско-Покровская,,,-8,22.07.1963,71000,"55,80944444","37,79861111"
Проспект Вернадского,18,1,Сокольническая,,,-8,30.12.1963,43200,"55,67722222","37,50611111"
Юго-Западная,19,1,Сокольническая,,,-8,30.12.1963,71600,"55,66361111","37,48333333"
Речной вокзал,1,2,Замоскворецкая,,,-6,31.12.1964,88800,"55,855","37,47611111"
Водный стадион,2,2,Замоскворецкая,,,-6,31.12.1964,49400,"55,83972222","37,48666667"
Войковская,3,2,Замоскворецкая,14,Переход на станцию Балтийская Московского центрального кольца,-7,31.12.1964,91200,"55,81888889","37,49805556"
Молодёжная,7,3,Арбатско-Покровская,,,"-6,5",05.07.1965,44500,"55,74083333","37,41666667"
Кунцевская,1,4,Филёвская,3,Кросс-платформенная пересадка на станцию Кунцевская Арбатско-Покровской линии,0,31.08.1965,35100,"55,73083333","37,44583333"
Преображенская площадь,3,1,Сокольническая,,,-8,31.12.1965,50800,"55,79638889","37,715"
Таганская,14,7,Таганско-Краснопресненская,5,Переход на станцию Таганская Кольцевой линии,-36,31.12.1966,70600,"55,74027778","37,65222222"
Пролетарская,15,7,Таганско-Краснопресненская,10,Переход на станцию Крестьянская застава Люблинско-Дмитровской линии,-9,31.12.1966,34900,"55,73194444","37,66583333"
Волгоградский проспект,16,7,Таганско-Краснопресненская,,,-8,31.12.1966,27000,"55,72527778","37,68694444"
