name,first_week,year,inflation,first_week_box
Иррациональный человек,13.08.2015,2015,"1,09096",15204011
Наруто: Последний фильм,04.06.2015,2015,"1,09096",15182612
Снежная битва,11.12.2015,2015,"1,09096",15120753
Топь,01.03.2007,2007,"2,339802",7045283
Молода и прекрасна,29.08.2013,2013,"1,328473",12395726
Никогда не сдавайся,10.04.2008,2008,"2,018811",8128744
Детям до 16...,16.09.2010,2010,"1,673423",9788399
Убежище,21.04.2011,2011,"1,539488",10635321
Качели,14.02.2008,2008,"2,018811",8106608
Дом в конце улицы,11.10.2012,2012,"1,434751",11385718
Ускорение,23.07.2015,2015,"1,09096",14970633
"Взрослая дочь, или Тест на...",15.07.2010,2010,"1,673423",9754081
Хроники мутантов,07.08.2008,2008,"2,018811",8083625
Врата тьмы,24.09.2015,2015,"1,09096",14944073
Клаустрофобия,15.09.2017,2017,1,16284916
Я очень возбужден,23.05.2013,2013,"1,328473",12249316
Львы для ягнят,08.11.2007,2007,"2,339802",6929626
Замёрзшие,11.03.2010,2010,"1,673423",9682350
Универсальный солдат 4,04.10.2012,2012,"1,434751",11275300
Черная роза,17.04.2014,2014,"1,202238",13451460
Инкарнация,02.12.2016,2016,"1,04",15529389
Жизнь за гранью,02.12.2010,2010,"1,673423",9649852
Новая эра Z,14.10.2016,2016,"1,04",15518722
Тюльпанная лихорадка,25.08.2017,2017,1,16133858
Богатырша,08.01.2016,2016,"1,04",15444801
Ангел-хранитель,07.03.2013,2013,"1,328473",12079727
Голоса большой страны,08.01.2016,2016,"1,04",15409633
Срочно выйду замуж,08.01.2016,2016,"1,04",15374719
Диномама 3D,31.01.2013,2013,"1,328473",12014762
Бабадук,29.01.2015,2015,"1,09096",14624760
Игра в правду,11.07.2013,2013,"1,328473",12000000
Проклятье 3D 2,20.03.2014,2014,"1,202238",13223252
Жасмин,26.09.2013,2013,"1,328473",11937960
Колледж,11.09.2008,2008,"2,018811",7846518
Заложница,18.09.2008,2008,"2,018811",7844440
Королевство,01.11.2007,2007,"2,339802",6767622
Машина времени в джакузи 2,26.03.2015,2015,"1,09096",14496132
Рок на века,14.06.2012,2012,"1,434751",11013508
Железная леди,01.03.2012,2012,"1,434751",10993255
Прогулка среди могил,23.10.2014,2014,"1,202238",13101392
Жатва,19.04.2007,2007,"2,339802",6726440
Праздничный переполох,05.01.2018,2018,1,15722257
Как жениться и остаться холостым,15.02.2007,2007,"2,339802",6695492
